,tx_hash,index,type,raw_amount,dollar_value,token_contract_address,token_name,token_dollar_value,from,to,sender,timestamp
25,0xee51506e07ace44eaad85041210d025ac46241526d2d22ef07af4e01a6847ba8,4,Transfer,10000000000000,996.1199760437011719,0x8ee325ae3e54e83956ef2d5952d3c8bc1fa6ec27,Fable Of The Dragon,0.09961199760437012,0x1f7ea43d283d0ef906ee92ddead883a8f078cbc9,0x3af73bb96b335fc0fd2c4cf39ce95f3ff8c8de66,0x1f7ea43d283d0ef906ee92ddead883a8f078cbc9,1709718971
26,0xee51506e07ace44eaad85041210d025ac46241526d2d22ef07af4e01a6847ba8,4,Transfer,633873232806574006,2039.1955696287339967,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,3217.0400390625,0x3af73bb96b335fc0fd2c4cf39ce95f3ff8c8de66,0x0ff6c9cb0755d45d237813dfd76928e54a2c1001,0x1f7ea43d283d0ef906ee92ddead883a8f078cbc9,1709718971
27,0xee51506e07ace44eaad85041210d025ac46241526d2d22ef07af4e01a6847ba8,4,Transfer,7783685049337146122152808,,0x15ee3f09712f4715904e1923c1ad504a673e88ac,None,None,0x0ff6c9cb0755d45d237813dfd76928e54a2c1001,0x1f7ea43d283d0ef906ee92ddead883a8f078cbc9,0x1f7ea43d283d0ef906ee92ddead883a8f078cbc9,1709718971
28,0x4589dc3b7be6df22ed3657b3310bfff117329a0a7e68ded05daecac2899e5921,0,Transfer,468747621854895799240547406339,3180.452669271536240216994254374,0x78132543d8e20d2417d8a07d9ae199d458a0d581,Luna Inu,0.000000006785000117304207,0x4e6b065262e3504f2511ef5b8cadc039630803be,0xf7ef5352de45a20d8c8565cd94a4bd6c8831f749,0x4e6b065262e3504f2511ef5b8cadc039630803be,1709719115
29,0x4589dc3b7be6df22ed3657b3310bfff117329a0a7e68ded05daecac2899e5921,0,Transfer,3149281637181010463,10131.365121095611852,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,3217.0400390625,0xf7ef5352de45a20d8c8565cd94a4bd6c8831f749,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,0x4e6b065262e3504f2511ef5b8cadc039630803be,1709719115
30,0x4589dc3b7be6df22ed3657b3310bfff117329a0a7e68ded05daecac2899e5921,0,Burn,3149281637181010463,10131.365121095611852,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,3217.0400390625,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,None,0x4e6b065262e3504f2511ef5b8cadc039630803be,1709719115
31,0x4589dc3b7be6df22ed3657b3310bfff117329a0a7e68ded05daecac2899e5921,0,Transfer,3149281637181010463,10139.899551313558438,None,Ethereum,3219.75,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,0x4e6b065262e3504f2511ef5b8cadc039630803be,1709719115
32,0x4589dc3b7be6df22ed3657b3310bfff117329a0a7e68ded05daecac2899e5921,0,Transfer,3149281637181010463,10139.899551313558438,None,Ethereum,3219.75,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,0x4e6b065262e3504f2511ef5b8cadc039630803be,0x4e6b065262e3504f2511ef5b8cadc039630803be,1709719115
33,0x4589dc3b7be6df22ed3657b3310bfff117329a0a7e68ded05daecac2899e5921,4,Transfer,468747621854895799240547406339,3180.452669271536240216994254374,0x78132543d8e20d2417d8a07d9ae199d458a0d581,Luna Inu,0.000000006785000117304207,0x4e6b065262e3504f2511ef5b8cadc039630803be,0xf7ef5352de45a20d8c8565cd94a4bd6c8831f749,0x4e6b065262e3504f2511ef5b8cadc039630803be,1709719115
34,0x4589dc3b7be6df22ed3657b3310bfff117329a0a7e68ded05daecac2899e5921,4,Transfer,2784479188759737380,8957.781038176343852,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,3217.0400390625,0xf7ef5352de45a20d8c8565cd94a4bd6c8831f749,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,0x4e6b065262e3504f2511ef5b8cadc039630803be,1709719115
