,tx_hash,sender,delta_eth,delta_dollar,token_name_A,token_contract_address_A,delta_token_A,token_name_B,token_contract_address_B,delta_token_B
14,0x181a0564289b631125aca03b32bfae8725a4f4a13264fc5c52c8c5346bd8352e,0x6e58309cd851a5b124e3a56768a42d12f3b6d104,-0.1553942714469773,-499.90959308587253,Tether,0xdac17f958d2ee523a2206206994597c13d831ec7,-499.91307935142964,UNITAO,0x19efa7d0fc88ffe461d1091f8cbe56dc2708a84f,-6.247733312482181e+20
15,0x18c635e257d2461c6add3ab45b0870bbe3b16eb3ae0cc4d0a165125dd1232677,0x4178e1a2e48f301459346efcb4edc094a35cacd6,-0.1285017541058755,-413.39528804836544,Ethereum,Ethereum,-0.12839359827575603,Sora AI,0xb8a87405d9a4f2f866319b77004e88dff66c0d92,
16,0x18cac731f1826133592d3274ee11e6ceca8d783dafebf84d0d9075c6de659c0c,0x4e6b065262e3504f2511ef5b8cadc039630803be,-0.054635224265271565,-175.7637040045377,Ethereum,Ethereum,-0.05458923953864048,Luna Inu,0x78132543d8e20d2417d8a07d9ae199d458a0d581,
17,0x1d48a66765c9bbe41f1431c6f90a430269bbb16186d78b4a5a9526c931643f53,0x32822bf1cbe0c73b79d436473fdf2c076208a9c5,-0.053342231310236576,-171.6040938979644,0x51940e2d6120b84912a656e9ba489d4a6f43d5d1,0x51940e2d6120b84912a656e9ba489d4a6f43d5d1,-2284136724273499.0,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,-0.053342231310236576
18,0x1f514126ec169ed0327cf1702db5bc7225ea6023d617facb0d23605e4e7502b5,0x459e03ecbe6078f9981765b8e7dd2106c4e369da,-0.06632542567090892,-213.37154999117777,Frax Share,0x3432b6a60d23ca0dfca7761b7ab56459d9c964d0,,Tether,0xdac17f958d2ee523a2206206994597c13d831ec7,-213.37303800000154
19,0x1f6ecb530c52099c4a1037ddccdcbd92d4f3bf82426e097a193ead905cdb40cb,0x9a7c699f90be93838161bf28d996a7ae51c4b21b,-0.01151905536256606,-37.05726231355262,0xa7606281f7808167b5faf89f4d898685a8b87549,0xa7606281f7808167b5faf89f4d898685a8b87549,,Ethereum,Ethereum,-0.011509360140865788
20,0x202fc38a52652a0c49927c1771de43939b47e083ba1c256ef0d004e32df2451b,0x77314da6f40f71c3a850c89e1a05c438a0acd405,-0.08299181057287917,-266.98797752724283,0x7f3b4b68ca0238f387d8b1a8fbc002d0e6d4cd5b,0x7f3b4b68ca0238f387d8b1a8fbc002d0e6d4cd5b,,Ethereum,Ethereum,-0.08292195901148935
21,0x24531edc6aed059e99a673a82f9ff93d478459510b26ebfda66d5bda57909b97,0x3b5042f0d60cf45d9c927a34c358cfe1c6a19a96,-0.20297989524714594,-652.9944501347805,Ethereum,Ethereum,-0.20280905353980294,Ribbon Finance,0x6123b0049f904d730db3c36a31167d9d4121fa6b,-6.912075027205576e+20
22,0x26711230e601f9f5036fb78a56f7ce5acb09517b68178d17bcb010c56b341c46,0x3a104f201896cdc4b6a825daa0a630dcd6a19ad7,-0.06496528153955809,-208.99591186172626,Ethereum,Ethereum,-0.06491060233301538,Offshift,0x76bc677d444f1e9d57daf5187ee2b7dc852745ae,
23,0x28dd28633cdbb1c615a76e845566bdb6b31f51c5f720f66f15443c905d200ef4,0x4994512cf01fba287e7abbe9399150d2bacbc806,-0.04471872652810087,-143.86193373678688,0x55d6995b0e9b8a981b8a853d2c0bc0e6311a0073,0x55d6995b0e9b8a981b8a853d2c0bc0e6311a0073,,Tether,0xdac17f958d2ee523a2206206994597c13d831ec7,-143.86293699999987
